"marko-js/marko";"9418"
"MithrilJS/mithril.js";"12060"
"angular/angular";"58645"
"emberjs/ember.js";"21410"
"knockout/knockout";"9715"
"tastejs/todomvc";"26373"
"spine/spine";"3550"
"vuejs/vue";"158827"
"Polymer/polymer";"21378"
"facebook/react";"144885"
"finom/seemple";"791"
"aurelia/framework";"11279"
"optimizely/nuclear-js";"2126"
"jashkenas/backbone";"27621"
"dojo/dojo";"1377"
"jorgebucaran/hyperapp";"17228"
"riot/riot";"14126"
"Daemonite/material";"3027"
"Polymer/lit-element";"3176"
"aurelia/aurelia";"669"
"sveltejs/svelte";"31196"
"neomjs/neo";"324"
"marko-js/marko";"582"
"MithrilJS/mithril.js";"899"
"angular/angular";"16077"
"emberjs/ember.js";"4207"
"knockout/knockout";"1554"
"tastejs/todomvc";"13735"
"spine/spine";"449"
"vuejs/vue";"23951"
"Polymer/polymer";"2022"
"facebook/react";"27889"
"finom/seemple";"83"
"aurelia/framework";"672"
"optimizely/nuclear-js";"155"
"jashkenas/backbone";"5677"
"dojo/dojo";"528"
"jorgebucaran/hyperapp";"780"
"riot/riot";"1027"
"Daemonite/material";"737"
"Polymer/lit-element";"257"
"aurelia/aurelia";"48"
"sveltejs/svelte";"1420"
"neomjs/neo";"23"
"marko-js/marko";"9429";"9429";"111";"A declarative, HTML-based language that makes building web apps fun";"MIT License";NULL
"MithrilJS/mithril.js";"12058";"12058";"154";"A JavaScript Framework for Building Brilliant Applications";"MIT License";NULL
"angular/angular";"58770";"58770";"3400";"One framework. Mobile & desktop.";"MIT License";NULL
"emberjs/ember.js";"21413";"21413";"345";"Ember.js - A JavaScript framework for creating ambitious web applications";"MIT License";NULL
"knockout/knockout";"9719";"9719";"364";"Knockout makes it easier to create rich, responsive UIs with JavaScript";"Other";NULL
"tastejs/todomvc";"26381";"26381";"164";"Helping you select an MV* framework - Todo apps for React.js, Ember.js, Angular, and many more";"Other";NULL
"spine/spine";"3551";"3551";"35";"Lightweight MVC library for building JavaScript applications";"MIT License";NULL
"vuejs/vue";"159098";"159098";"461";"\U0001f596 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.";"MIT License";NULL
"Polymer/polymer";"21381";"21381";"281";"Our original Web Component library.";"Other";NULL
"facebook/react";"145131";"145131";"555";"A declarative, efficient, and flexible JavaScript library for building user interfaces.";"MIT License";NULL
"finom/seemple";"791";"791";"0";"Seemple.js framework";"MIT License";NULL
"aurelia/framework";"11286";"11286";"63";"The Aurelia 1 framework entry point, bringing together all the required sub-modules of Aurelia.";"MIT License";NULL
"optimizely/nuclear-js";"2126";"2126";"27";"Reactive Flux built with ImmutableJS data structures. Framework agnostic.";"MIT License";NULL
"jashkenas/backbone";"27624";"27624";"92";"Give your JS App some Backbone with Models, Views, Collections, and Events";"MIT License";NULL
"dojo/dojo";"1378";"1378";"21";"Dojo 1 - the Dojo 1 toolkit core library.";"Other";NULL
"jorgebucaran/hyperapp";"17232";"17232";"22";"The tiny framework for building web interfaces.";"MIT License";NULL
"riot/riot";"14127";"14127";"3";"Simple and elegant component-based UI library";"Other";NULL
"Daemonite/material";"3029";"3029";"33";"Material Design for Bootstrap 4";"MIT License";NULL
"Polymer/lit-element";"3189";"3189";"97";"A simple base class for creating fast, lightweight web components";"BSD 3-Clause ""New"" or ""Revised"" License";NULL
"aurelia/aurelia";"668";"668";"102";"Aurelia 2, a standards-based, front-end framework designed for high-performing, ambitious applications.";"MIT License";NULL
"sveltejs/svelte";"31409";"31409";"473";"Cybernetically enhanced web apps";"MIT License";NULL
"neomjs/neo";"342";"342";"64";"The webworkers driven UI framework (Beta version)";"MIT License";NULL
"marko-js/marko";"2019-11-09"
"MithrilJS/mithril.js";"2020-03-10"
"angular/angular";"2020-03-11"
"emberjs/ember.js";"2020-03-11"
"knockout/knockout";"2020-03-11"
"tastejs/todomvc";"2018-12-22"
"spine/spine";"2019-09-17"
"vuejs/vue";"2020-03-11"
"Polymer/polymer";"2020-02-27"
"facebook/react";"2020-03-11"
"finom/seemple";NULL
"aurelia/framework";"2020-03-09"
"optimizely/nuclear-js";NULL
"jashkenas/backbone";"2020-03-09"
"dojo/dojo";"2020-03-06"
"jorgebucaran/hyperapp";"2020-03-08"
"riot/riot";"2019-01-06"
"Daemonite/material";"2020-03-11"
"Polymer/lit-element";"2020-03-10"
"aurelia/aurelia";"2020-03-09"
"sveltejs/svelte";"2020-03-11"
"neomjs/neo";NULL
"marko-js/marko";"2020-03-10 00:24:55"
"MithrilJS/mithril.js";"2020-03-05 03:37:35"
"angular/angular";"2020-03-09 20:51:21"
"emberjs/ember.js";"2020-03-09 18:24:58"
"knockout/knockout";"2019-09-30 07:12:21"
"tastejs/todomvc";"2020-02-03 11:32:51"
"spine/spine";"2017-10-09 17:47:54"
"vuejs/vue";"2020-03-09 15:13:03"
"Polymer/polymer";"2020-01-22 02:05:30"
"facebook/react";"2020-03-07 19:23:30"
"finom/seemple";"2020-01-28 16:03:47"
"aurelia/framework";"2020-02-28 04:28:16"
"optimizely/nuclear-js";"2018-09-20 23:34:06"
"jashkenas/backbone";"2019-12-13 19:41:21"
